,,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold),Existing Amount
,,,,,,,,
2,GENERATION 0,​,,,​,,,
3,Monarch's Aura,Mythic,UNKNOWN,🔑O/C,Stable,💎100k,N/A,3
4,Kamish's Wrath [R],Mythic,UNKNOWN,🔑O/C,Stable,💎100k,N/A,10
5,Kamish's Wrath [L],Mythic,UNKNOWN,🔑O/C,Stable,💎100k,N/A,10
6,Sung Dripwoo's Attire,Mythic,UNKNOWN,🔑O/C,Stable,💎100k,N/A,25
7,1ST GENERATION,​,,,​,,,
8,Third Eye,Mythic,7,🔑1.3M-1.37M/1450viz-1530viz,Stable,💎100k,N/A,87
9,Eclipse,Mythic,9,🔑513K-540K/570viz-600viz,Overpriced,💎100k,N/A,157
10,Seraphic,Legendary,5,🔑126k-135k/140viz-150viz,Dropping,💎100k,N/A,263
11,2ND GENERATION,​,,,​,,,
12,Vulcan's Grace,Mythic,6,🔑621K-639K/690viz-710viz,Stable,💎100k,N/A,49
13,Ad Astra,Mythic,5,🔑207k-243k/230viz-270viz,Stable,💎100k,N/A,72
14,Matrix,Legendary,8,🔑90k-99k/100viz-110viz,Stable,💎100k,N/A,167
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
